name,ICAO_ID,longitude,latitude,city,state
Anderson Muni-Darlington Fld,KAID,-85.6129999999999,40.1086111110001,ANDERSON,IN
Tri-State Steuben County,KANQ,-85.083493333,41.6396983330001,ANGOLA,IN
Batesville,KHLB,-85.2584166669999,39.343111111,BATESVILLE,IN
Virgil I Grissom Muni,KBFR,-86.445361111,38.840027778,BEDFORD,IN
Monroe County,KBMG,-86.616680472,39.1460208330001,BLOOMINGTON,IN
Smith Fld,KSMD,-85.152777778,41.143361111,FORT WAYNE,IN
French Lick Muni,KFRH,-86.6369444439999,38.5062222220001,FRENCH LICK,IN
Gary/Chicago Intl,KGYY,-87.414527778,41.6172500000001,GARY/CHICAGO,IN
Goshen Muni,KGSH,-85.794270167,41.526133417,GOSHEN,IN
De Kalb County,KGWB,-85.060517778,41.3071972220001,AUBURN,IN
Columbus Muni,KBAK,-85.8963388889999,39.261915,COLUMBUS,IN
Mettel Fld,KCEV,-85.1311388889999,39.6981944440001,CONNERSVILLE,IN
Crawfordsville Rgnl,KCFJ,-86.921075,39.9746250000001,CRAWFORDSVILLE,IN
Elkhart Muni,KEKM,-86.003218972,41.719406167,ELKHART,IN
Evansville Rgnl,KEVV,-87.5285,38.0408055560001,EVANSVILLE,IN
Fort Wayne Intl,KFWA,-85.195166667,40.9784722220001,FORT WAYNE,IN
Frankfort Clinton County Rgnl,KFKR,-86.5621702779999,40.2734308330001,FRANKFORT,IN
Putnam County Rgnl,KGPC,-86.813805556,39.633527778,GREENCASTLE,IN
Pope Fld,KGFD,-85.736088611,39.7903208330001,GREENFIELD,IN
Huntingburg,KHNB,-86.9528194439999,38.2490169440001,HUNTINGBURG,IN
Huntington Muni,KHHG,-85.4570555559999,40.852916667,HUNTINGTON,IN
Indy South Greenwood,KHFY,-86.088027778,39.6276111110001,INDIANAPOLIS,IN
Indianapolis Intl,KIND,-86.2946388889999,39.717305556,INDIANAPOLIS,IN
Clark Rgnl,KJVY,-85.738144722,38.3666183330001,JEFFERSONVILLE,IN
Kokomo Muni,KOKK,-86.05975,40.5276666670001,KOKOMO,IN
Purdue University,KLAF,-86.936888889,40.412305556,LAFAYETTE,IN
Logansport/Cass County,KGGP,-86.372704722,40.7112644440001,LOGANSPORT,IN
Michigan City Muni-Phillips Fld,KMGC,-86.82124,41.703315278,MICHIGAN CITY,IN
Delaware County Rgnl,KMIE,-85.39575,40.2424722220001,MUNCIE,IN
Himsel AAF,KHBE,-86.029777778,39.3392638890001,NINEVEH,IN
North Vernon,KOVO,-85.605611111,39.045333333,NORTH VERNON,IN
Eagle Creek Airpark,KEYE,-86.2943857499999,39.8307174170001,INDIANAPOLIS,IN
Indianapolis Metro,KUMP,-86.0450677219999,39.935398472,INDIANAPOLIS,IN
Indianapolis Rgnl,KMQJ,-85.897735556,39.843137778,INDIANAPOLIS,IN
Indianapolis Exec,KTYQ,-86.251404722,40.0286108330001,INDIANAPOLIS,IN
Starke County,KOXI,-86.664609444,41.3297008330001,KNOX,IN
La Porte Muni,KPPO,-86.734527778,41.572466944,LA PORTE,IN
Madison Muni,KIMS,-85.464694444,38.759916667,MADISON,IN
Marion Muni - McKinney Fld,KMZZ,-85.679777778,40.489916667,MARION,IN
White County,KMCX,-86.766793889,40.710193889,MONTICELLO,IN
New Castle Henry County Marlatt Fld,KUWL,-85.3252866669999,39.8767316670001,NEW CASTLE,IN
Grissom ARB,KGUS,-86.1521194439999,40.6480916670001,PERU,IN
Fulton County,KRCR,-86.181702889,41.065547528,ROCHESTER,IN
South Bend Intl,KSBN,-86.3173375,41.7082238890001,SOUTH BEND,IN
Porter County Rgnl,KVPZ,-87.007083333,41.4539722220001,VALPARAISO,IN
Warsaw Muni,KASW,-85.8400833329999,41.274694444,WARSAW,IN
Daviess County,KDCY,-87.1312902779999,38.7007661110001,WASHINGTON,IN
Portland Muni,KPLD,-84.991717778,40.4515175000001,PORTLAND,IN
Jasper County,KRZL,-87.1826480829999,40.9478236670001,RENSSELAER,IN
Richmond Muni,KRID,-84.842694444,39.756083333,RICHMOND,IN
Freeman Muni,KSER,-85.909720583,38.924256444,SEYMOUR,IN
Shelbyville Muni,KGEZ,-85.804805556,39.5831388890001,SHELBYVILLE,IN
Sullivan County,KSIV,-87.4483291669999,39.1147125000001,SULLIVAN,IN
Perry County Muni,KTEL,-86.692416667,38.018861111,TELL CITY,IN
Terre Haute Rgnl,KHUF,-87.30699,39.4506319440001,TERRE HAUTE,IN
Wabash Muni,KIWH,-85.79875,40.7619722220001,WABASH,IN
Arens Fld,KRWN,-86.6128711109999,41.092263056,WINAMAC,IN
