name,ICAO_ID,longitude,latitude,city,state,fuel_price
Adak,PADK,-176.642482222,51.8835827780001,ADAK ISLAND,AK,8.34
Akhiok,PAKH,-154.182555556,56.9386908330001,AKHIOK,AK,
Akiachak,PFZK,-161.493329167,60.9138097220001,AKIACHAK,AK,
Akiak,PFAK,-161.230583333,60.902897222,AKIAK,AK,
Akutan,PAUT,-165.604108333,54.1446111110001,AKUTAN,AK,
Alakanuk,PAUK,-164.722194444,62.6830555560001,ALAKANUK,AK,
Allakaket,PFAL,-152.622166667,66.551833333,ALLAKAKET,AK,
Ambler,PAFM,-157.857155833,67.106200556,AMBLER,AK,
Anaktuvuk Pass,PAKP,-151.743333333,68.1336111110001,ANAKTUVUK PASS,AK,
Ted Stevens Anchorage Intl,PANC,-149.9981375,61.174084722,ANCHORAGE,AK,4.15
Merrill Fld,PAMR,-149.844709444,61.213546389,ANCHORAGE,AK,5.5
Elmendorf AFB,PAED,-149.806525667,61.251353194,ANCHORAGE,AK,
Bryant AAF,PAFR,-149.653307778,61.2659,FORT RICHARDSON (ANCHORAGE),AK,
Angoon,PAGN,-134.585093889,57.5035552780001,ANGOON,AK,
Aniak,PANI,-159.545298056,61.581405278,ANIAK,AK,9.38
Annette Island,PANT,-131.570899361,55.0422935830001,ANNETTE,AK,
Anvik,PANV,-160.190055556,62.6473333330001,ANVIK,AK,
Arctic Village,PARC,-145.579415278,68.1146694440001,ARCTIC VILLAGE,AK,
Atka,PAAK,-174.206194444,52.220583333,ATKA,AK,
Atqasuk Edward Burnell Sr Meml,PATQ,-157.435666667,70.4671111110001,ATQASUK,AK,
Casco Cove CGS,PAAT,173.175554167,52.832541667,ATTU,AK,
Wiley Post-Will Rogers Meml,PABR,-156.768583333,71.2848611110001,UTQIAGVIK,AK,6.9
Barter Island,PABA,-143.653611111,70.1131111110001,BARTER ISLAND,AK,
Beaver,PAWB,-147.4065,66.3622222220001,BEAVER,AK,
Beluga,PABG,-151.045416306,61.1729618890001,BELUGA,AK,
Bethel,PABE,-161.837166667,60.7785555560001,BETHEL,AK,7.08
Bettles,PABT,-151.529055556,66.913944444,BETTLES,AK,9.5
Big Lake,PAGQ,-149.812548333,61.5346830560001,BIG LAKE,AK,
Big Mountain,PABM,-155.258821389,59.361246667,BIG MOUNTAIN,AK,
Birchwood,PABV,-149.508309778,61.4160875000001,BIRCHWOOD,AK,7.5
Brevig Mission,PFKT,-166.465722222,65.331333333,BREVIG MISSION,AK,
Buckland,PABL,-161.149138889,65.981555556,BUCKLAND,AK,
Cantwell,PATW,-148.955616389,63.3912047220001,CANTWELL,AK,
Cape Lisburne LRRS,PALU,-166.111081944,68.875127778,CAPE LISBURNE,AK,
Cape Newenham LRRS,PAEH,-162.063802778,58.64815,CAPE NEWENHAM,AK,
Cape Romanzof LRRS,PACZ,-166.039575417,61.7810143610001,CAPE ROMANZOF,AK,
Cape Sarichef,PACS,-164.914480833,54.5824311110001,CAPE SARICHEF,AK,
Cape Spencer C G,PACA,-136.639930556,58.1992388890001,CAPE SPENCER,AK,
Central,PACE,-144.780888889,65.5739444440001,CENTRAL,AK,
Chalkyitsik,PACI,-143.739888889,66.645027778,CHALKYITSIK,AK,
Chandalar Lake,PALR,-148.483222222,67.5045166670001,CHANDALAR LAKE,AK,
Chefornak,PACK,-164.279055556,60.1368055560001,CHEFORNAK,AK,
Chenega Bay,PFCB,-147.994734722,60.0785611110001,CHENEGA,AK,
Chevak,PAVA,-165.600888889,61.5408333330001,CHEVAK,AK,
Chignik,PAJC,-158.373238194,56.3114626390001,CHIGNIK,AK,
Chuathbaluk,PACH,-159.215638889,61.5790555560001,CHUATHBALUK,AK,
Circle City,PACR,-144.076197222,65.8279166670001,CIRCLE,AK,
Clarks Point,PFCL,-158.529388889,58.8336944440001,CLARKS POINT,AK,
Clear,PACL,-149.116527778,64.300388889,CLEAR,AK,
Coffman Cove,PAKC,-132.8339225,56.0148038890001,COFFMAN COVE,AK,
Cold Bay,PACD,-162.72625,55.2059166670001,COLD BAY,AK,7.01
Port Moller,PAAL,-160.560791944,56.0059858330001,COLD BAY,AK,
Coldfoot,PACX,-150.203908056,67.252170833,COLDFOOT,AK,
Merle K (Mudhole) Smith,PACV,-145.477557778,60.4916397220001,CORDOVA,AK,
Crooked Creek,PACJ,-158.137956389,61.8711180560001,CROOKED CREEK,AK,
Donlin Creek,PFCR,-158.236231667,62.0324227780001,CROOKED CREEK,AK,
Dahl Creek,PODC,-156.891368639,66.942561417,DAHL CREEK,AK,
Deadhorse,PASC,-148.465164861,70.1947541110001,DEADHORSE,AK,6.15
Alpine Airstrip,PALP,-150.94475,70.344277778,NUIQSUT,AK,
Badami,PABP,-147.030438889,70.1374666670001,DEADHORSE,AK,
Point Thomson Airstrip,PAAD,-146.290027778,70.1360000000001,DEADHORSE,AK,
Deering,PADE,-162.767055556,66.069111111,DEERING,AK,
Allen AAF,PABI,-145.720055361,63.995162694,DELTA JUNCTION FT GREELY,AK,
Dillingham,PADL,-158.5055,59.0446666670001,DILLINGHAM,AK,8.08
Diomede,PPDM,-168.953055556,65.7586111110001,DIOMEDE,AK,
Driftwood Bay Air Force Station,PAAM,-166.857405556,53.9719805560001,DUTCH HARBOR,AK,
Eagle,PAEG,-141.149611111,64.778083333,EAGLE,AK,
Eek,PAEE,-162.043888889,60.2136944440001,EEK,AK,
Egegik,PAII,-157.375427778,58.185490278,EGEGIK,AK,
Elfin Cove,PAEL,-136.347392778,58.195184167,ELFIN COVE,AK,
Elim,PFEL,-162.270527778,64.6149722220001,ELIM,AK,
Emmonak,PAEM,-164.49075,62.786138889,EMMONAK,AK,
Ladd AAF,PAFB,-147.614491944,64.8376122220001,FAIRBANKS/FT WAINWRIGHT,AK,
Gold King Creek,PAAN,-147.928611111,64.198055556,FAIRBANKS,AK,
Eielson AFB,PAEI,-147.101430278,64.665639722,FAIRBANKS,AK,
Fairbanks Intl,PAFA,-147.856666667,64.815355556,FAIRBANKS,AK,6.0
False Pass,PAKF,-163.407111111,54.847861111,FALSE PASS,AK,
Tin Creek,PAFL,-153.612788889,62.5321222220001,FAREWELL LAKE,AK,
Farewell Lake,PAFK,-153.62251,62.5424538890001,FAREWELL LAKE,AK,
Fort Yukon,PFYU,-145.246333333,66.572416667,FORT YUKON,AK,
Funter Bay,PANR,-134.897906667,58.2543858330001,FUNTER BAY,AK,
Galbraith Lake,PAGB,-149.489916667,68.4796666670001,GALBRAITH LAKE,AK,
Edward G Pitka Sr,PAGA,-156.934554722,64.7361897220001,GALENA,AK,8.6
Gambell,PAGM,-171.732783889,63.766616389,GAMBELL,AK,
Golovin,PAGL,-163.007171944,64.5504586110001,GOLOVIN,AK,
Granite Mountain AS,PAGZ,-161.281475,65.4021333330001,GRANITE MOUNTAIN,AK,
Grayling,PAGX,-160.066396889,62.8920853060001,GRAYLING,AK,
Gulkana,PAGK,-145.455291667,62.154334722,GULKANA,AK,6.4
Gustavus,PAGS,-135.707416667,58.4252777780001,GUSTAVUS,AK,9.99
Haines,PAHN,-135.5235375,59.2438291670001,HAINES,AK,7.7
Hoonah,POOH,-135.451805,58.112159444,HOONAH,AK,
Hoonah,PAOH,-135.40875625,58.0961991670001,HOONAH,AK,
Hooper Bay,PAHP,-166.146622778,61.5238705560001,HOOPER BAY,AK,
Juneau Intl,PAJN,-134.578470528,58.3547118060001,JUNEAU,AK,8.94
Kake,PAFE,-133.910261111,56.9613625000001,KAKE,AK,
Bullen Point Air Force Station,PABU,-146.836111111,70.1727777780001,KAKTOVIK,AK,
Kalskag,PALG,-160.345583333,61.5359722220001,KALSKAG,AK,
Ketchikan Intl,PAKT,-131.711222222,55.3540833330001,KETCHIKAN,AK,9.0
Bob Baker Meml,PAIK,-160.438599167,66.9761775000001,KIANA,AK,
Koliganek,PAJZ,-157.26025,59.72675,KOLIGANEK,AK,
Kongiganak,PADY,-162.880593056,59.961630556,KONGIGANAK,AK,
Kotlik,PFKO,-163.532638889,63.030583333,KOTLIK,AK,
Ralph Wien Meml,PAOT,-162.598138889,66.8848055560001,KOTZEBUE,AK,8.68
Koyuk Alfred Adams,PAKK,-161.154277778,64.9395277780001,KOYUK,AK,
Koyukuk,PFKU,-157.730444444,64.875805556,KOYUKUK,AK,
Kulik Lake,PAKL,-155.0956125,58.9650055560001,KULIK LAKE,AK,
Ugnu-Kuparuk,PAKU,-149.598055556,70.3306666670001,KUPARUK,AK,
Kwethluk,PFKW,-161.443694444,60.790333333,KWETHLUK,AK,
